Phenotype,Network_score
Adenocarcinoma,0.0013296427596553155
Glioma,0.0008543821122450776
leukemia,0.0007746433901799861
Renal Cell Carcinoma,0.0007666990643799891
melanoma,0.0007414030557913066
Skin Neoplasms,0.0007412430810478291
Renal carcinoma,0.0007225243809889164
Kidney Neoplasm,0.0006857534343378795
Astrocytoma,0.0006845335675146336
Muscular Dystrophy,0.0006532704508820828
Malignant neoplasm of brain,0.0006521046006745825
Mammary Neoplasms,0.000575243578378296
Sarcoma,0.0005715363663965329
Neuroendocrine Tumors,0.0005712939827292275
Nevi and Melanomas,0.0005701715083802004
Glioblastoma,0.0005697536621339517
Malignant neoplasm of breast,0.0005691005640327802
Breast Carcinoma,0.0005686127897227394
Myeloid Leukemia,0.0005633618488880615
Acute leukemia,0.0005536317774140563
Ductal Carcinoma,0.0004919286825573557
"Neoplasms, Ductal, Lobular, and Medullary",0.0004685813694057765
Lymphoproliferative Disorders,0.0004595667341953829
Myositis,0.0004509099172383538
Amyopathic dermatomyositis,0.0004282436184607969
Mutation Abnormality,0.00042111430033534453
Malignant neoplasm of prostate,0.0004054724083958356
Prostatic Neoplasms,0.0004051926611191202
Amyotrophic Lateral Sclerosis,0.0003918454634171173
TDP-43 Proteinopathies,0.0003801948481404565
Anterior Horn Cell Disease,0.0003793256644915463
Motor Neuron Disease,0.00037916671912464276
Brain Neoplasms,0.0003772294186941992
Lung Neoplasms,0.00036797424971116903
Malignant neoplasm of lung,0.0003633241079252505
"Carcinoma, Spindle-Cell",0.00036255541320054125
"Muscular Dystrophy, Duchenne",0.0003487771347577419
Duchenne and Becker Muscular Dystrophy,0.0003487771347577419
"Carcinoma, Large Cell",0.00033314191748082803
Inflammatory Bowel Diseases,0.00032155013482567665
Paraproteinemias,0.00032080069194050207
Colitis,0.00030405125567763803
Vascular Hemostatic Disorders,0.00030365091018780434
Plasma Cell Neoplasm,0.0003012343855451548
Multiple Myeloma,0.0003006112306590316
Plasma cell dyscrasia,0.00026829179892755804
"Mammary Carcinoma, Human",0.00026745308031046207
"Mammary Neoplasms, Human",0.00026745308031046207
Liver carcinoma,0.00025623442630159124
Acute lymphocytic leukemia,0.00025410252471435045
Carcinoma of lung,0.00025336803597042306
Squamous cell carcinoma,0.00024655795671998004
"Muscular Dystrophy, Facioscapulohumeral",0.0002460239212082064
"Neoplasms, Connective Tissue",0.00024218712756821225
Ulcerative Colitis,0.00023922162654687058
Bronchogenic Carcinoma,0.0002345992581047817
B-Cell Lymphomas,0.00023090834630949648
Hematopoietic Neoplasms,0.0002260956992292585
Ulcer,0.00022539280719266147
"Neoplasms, Complex and Mixed",0.00022054228276093216
Carcinosarcoma,0.0002167832544308628
Gastrointestinal Neoplasms,0.00021550624321484414
Precursor B-cell lymphoblastic leukemia,0.0002106426988053305
Lymphoma,0.00021035840661724048
Small cell carcinoma of lung,0.00020936755176185394
"Myeloid Leukemia, Chronic",0.00020758113019395328
Myeloproliferative disease,0.00020749426492844132
Malignant neoplasm of stomach,0.0002011540754224424
Stomach Neoplasms,0.0002011540754224424
"Muscular Dystrophy, Emery-Dreifuss",0.00019899982129326533
"Melanoma, Amelanotic",0.0001988588196542441
Malignant neoplasm of skin,0.00019704236340097476
liposarcoma,0.00018775530607868798
"Liposarcoma, Myxoid",0.00018569276257816684
Hereditary Diffuse Gastric Cancer,0.00018314003971033288
"Carcinoma, Small Cell",0.00018287293061825148
ovarian neoplasm,0.0001809667983371202
Malignant neoplasm of ovary,0.00017976728241755446
Cystadenocarcinoma,0.00017791846049490322
"Neoplasms, Cystic, Mucinous, and Serous",0.00017791846049490322
Malignant neoplasm of urinary bladder,0.0001773986552581779
Bladder Neoplasm,0.0001773986552581779
Malignant neoplasm of bronchus,0.00017374591796224585
Bronchial Neoplasms,0.00017374591796224585
Digestive System Neoplasms,0.00017049142178533693
Malignant neoplasm of gastrointestinal tract,0.00016853440595514005
synovial sarcoma,0.00016156668027906719
Diffuse Large B-Cell Lymphoma,0.00016109078768555073
"Lymphoma, Non-Hodgkin",0.0001609902380015864
Obesity,0.0001531213451173836
Disease Progression,0.0001513719591577181
Squamous Cell Neoplasms,0.00015062152747112283
Benign Neoplasm,0.00014944725897239584
Chronic Lymphocytic Leukemia,0.000148778710307254
Lymphoid leukemia,0.00014546252969566335
Medulloblastoma,0.0001440360818074614
Dementia,0.0001425809985659564
malignant neurologic neoplasms,0.00014148554452614445
"Leukemia, Myelocytic, Acute",0.0001414635621593187
Anaplastic carcinoma,0.0001389959840331352
Undifferentiated carcinoma,0.0001389959840331352
Carcinoma,0.0001389959840331352
Carcinomatosis,0.0001389959840331352
Classical Hodgkin's Lymphoma,0.00013895696049644229
Colorectal Carcinoma,0.00013793576195798203
Colorectal Neoplasms,0.00013726643957640033
Conventional (Clear Cell) Renal Cell Carcinoma,0.00013670826719206926
Neoplasm Metastasis,0.00013551096161518926
"Leukemia, B-Cell",0.00013528961497477442
Non-Small Cell Lung Carcinoma,0.0001345196613598008
Adenocarcinoma of lung (disorder),0.00013325212133746868
HIV Infections,0.0001311750020281189
Dermatitis,0.000128711636174678
Uterine Cervical Neoplasm,0.00012791490717564086
Insulin Sensitivity,0.0001228958181126074
"Neoplasms, Neuroepithelial",0.00012194590329075543
Adult T-Cell Lymphoma/Leukemia,0.00012146936002647853
Drug-Induced Liver Disease,0.00012092129858629378
"Neuroectodermal Tumor, Primitive",0.0001200648159165343
"Hepatitis, Drug-Induced",0.00011930488218062049
"Hepatitis, Toxic",0.00011930488218062049
Chemically-Induced Liver Toxicity,0.00011930488218062049
Drug-Induced Acute Liver Injury,0.00011930488218062049
Chemical and Drug Induced Liver Injury,0.00011930488218062049
Burkitt Lymphoma,0.0001175565074121502
Organic brain syndrome,0.00011575260096016635
Crohn Disease,0.00011346138420885024
Metastatic Neoplasm,0.00011274541420854898
Epstein-Barr Virus Infections,0.00011224323643066865
"Leukemia, T-Cell",0.00011222865722029278
Parkinson Disease,0.00011113529522996587
Neoplasm Invasiveness,0.00011061760068441379
Lipoma,0.00011056025415270197
"Mammary Neoplasms, Experimental",0.00011023816900568965
Myocardial Ischemia,0.00011019917013649881
Prostate carcinoma,0.00011014731271415557
Schizophrenia,0.00010811594276123249
Diabetes,0.00010798999109541322
Insulin Resistance,0.00010793202614015078
Chronic disease,0.00010788410332097795
"Diabetes Mellitus, Non-Insulin-Dependent",0.00010716614103794403
Neoplastic Cell Transformation,0.0001071126811597823
Colonic Neoplasms,0.00010658987560601432
Cognition Disorders,0.00010627373847372636
Malignant tumor of colon,0.00010620421375182092
Animal Mammary Neoplasms,0.00010587911800505838
"Mammary Carcinoma, Animal",0.00010587911800505838
Hypertensive disease,0.00010497657508212667
Toxic effect,0.00010454109328367049
Malignant Fibrous Histiocytoma,0.00010321881927179195
Lipomatous neoplasm,0.0001028801544474954
Histiocytoma,0.0001025416030484268
"Liposarcoma, Dedifferentiated",0.00010093882947186274
"Adenocarcinoma, Oxyphilic",9.854559381339524e-05
Diabetes Mellitus,9.825458869586973e-05
"Adenocarcinoma, Basal Cell",9.818274918362101e-05
"Adenocarcinoma, Tubular",9.818274918362101e-05
"Carcinoma, Cribriform",9.818274918362101e-05
"Carcinoma, Granular Cell",9.818274918362101e-05
Cervix carcinoma,9.727700575789656e-05
Malignant tumor of cervix,9.727700575789656e-05
Becker Muscular Dystrophy,9.478384669131212e-05
Basal Ganglia Diseases,9.474408186652185e-05
Urologic Neoplasms,9.402854768300436e-05
Chronic Obstructive Airway Disease,9.360853100684498e-05
Parkinsonian Disorders,9.328783352520153e-05
Paraplegia,9.308598874942624e-05
Spastic Paraplegia,9.260338227479406e-05
Psoriasis,9.204193155675056e-05
Influenza,9.157144002087398e-05
Ovarian Carcinoma,9.155081699602464e-05
Huntington Disease,9.042006244742454e-05
Chorea,8.863279725361771e-05
Head and Neck Neoplasms,8.834327699147701e-05
Esophageal Neoplasms,8.824540420424435e-05
Male infertility,8.793370489935004e-05
Hereditary Chorea,8.691674688394773e-05
"Lung Diseases, Obstructive",8.665276375390521e-05
Urinary Bladder Diseases,8.658404048419142e-05
Malignant neoplasm of uterine adnexa,8.610569098514164e-05
Overnutrition,8.604397243325538e-05
Pneumonia,8.491608919392851e-05
Nevus,8.487120385821954e-05
"Malignant neoplasm of urinary organ, unspecified",8.411777734481349e-05
Neoplasm of unspecified nature of bladder,8.411777734481349e-05
Carcinoma of bladder,8.411777734481349e-05
"Kidney Failure, Acute",8.346184596810966e-05
Acute kidney injury,8.346184596810966e-05
Bronchial Diseases,8.345072797213344e-05
Adenoma,8.190042822346337e-05
Respiratory Tract Infections,8.181113447277654e-05
Pancreatic Neoplasm,8.131515900068343e-05
Orthomyxoviridae Infections,8.126899070800242e-05
oligodendroglioma,8.045896239083813e-05
Malignant neoplasm of pancreas,8.021365428937263e-05
Liver neoplasms,7.98416175966923e-05
Endometrioma,7.896894466237424e-05
Endometriosis,7.867410096519478e-05
Disorder of pancreatic internal secretion,7.80194183976427e-05
Malignant neoplasm of liver,7.72569006719846e-05
Renal Insufficiency,7.704339993192394e-05
HIV Coinfection,7.699511158236419e-05
Nephroblastoma,7.687426781337953e-05
Autistic Disorder,7.686766181443758e-05
