Phenotype,Network_score
Adenocarcinoma,0.003168248748858894
Glioma,0.0020360363766799413
leukemia,0.001845811820674921
Renal Cell Carcinoma,0.0018278170644545268
Skin Neoplasms,0.0017654048933689846
melanoma,0.0017651262408099851
Renal carcinoma,0.0017219026834808728
Kidney Neoplasm,0.0016342256002078637
Astrocytoma,0.0016318170860978656
Muscular Dystrophy,0.0015607494492100808
Malignant neoplasm of brain,0.0015540151836667074
Mammary Neoplasms,0.001375182192188188
Sarcoma,0.0013620936977779545
Malignant neoplasm of breast,0.0013603360086422885
Breast Carcinoma,0.001359186432197838
Neuroendocrine Tumors,0.0013591496156795382
Glioblastoma,0.0013579534138244856
Nevi and Melanomas,0.0013565292092110634
Myeloid Leukemia,0.0013420731560864368
Acute leukemia,0.0013170749782341878
Ductal Carcinoma,0.0011717502198172426
"Neoplasms, Ductal, Lobular, and Medullary",0.0011152505610435052
Lymphoproliferative Disorders,0.0010960941783413215
Myositis,0.001077185649860817
Amyopathic dermatomyositis,0.001023492813363509
Mutation Abnormality,0.0010069725103853291
Malignant neoplasm of prostate,0.0009706215760767972
Prostatic Neoplasms,0.0009699807000610273
Amyotrophic Lateral Sclerosis,0.0009361295669627946
TDP-43 Proteinopathies,0.0009080762845312227
Anterior Horn Cell Disease,0.0009058981669685817
Motor Neuron Disease,0.0009055262163584124
Brain Neoplasms,0.0009004802402579914
Lung Neoplasms,0.0008792322177097896
Malignant neoplasm of lung,0.0008677109909308133
"Carcinoma, Spindle-Cell",0.0008673891953558125
Duchenne and Becker Muscular Dystrophy,0.0008338107260420789
"Muscular Dystrophy, Duchenne",0.0008338107260420789
"Carcinoma, Large Cell",0.0007919799084589237
Inflammatory Bowel Diseases,0.0007668318176439269
Paraproteinemias,0.000766118453857756
Colitis,0.0007253250505097178
Vascular Hemostatic Disorders,0.0007250396459349167
Plasma Cell Neoplasm,0.0007193085971780911
Multiple Myeloma,0.0007177177295688759
"Mammary Neoplasms, Human",0.0006415690320038758
"Mammary Carcinoma, Human",0.0006415690320038758
Plasma cell dyscrasia,0.0006403857830428496
Liver carcinoma,0.0006147469497173641
Acute lymphocytic leukemia,0.000604617246592062
Carcinoma of lung,0.0006044524850972561
Squamous cell carcinoma,0.000590280867432341
"Muscular Dystrophy, Facioscapulohumeral",0.0005888621119215916
"Neoplasms, Connective Tissue",0.0005770836129629171
Ulcerative Colitis,0.0005707827741808488
Bronchogenic Carcinoma,0.0005590118534393282
B-Cell Lymphomas,0.000551897185949461
Hematopoietic Neoplasms,0.0005381449537414307
Ulcer,0.0005376603613151058
"Neoplasms, Complex and Mixed",0.0005247695594619456
Carcinosarcoma,0.0005158955994082612
Gastrointestinal Neoplasms,0.0005148294507969154
Lymphoma,0.000500864933176893
Precursor B-cell lymphoblastic leukemia,0.0005007001333150435
Small cell carcinoma of lung,0.0004991785606792971
"Myeloid Leukemia, Chronic",0.0004954507427775497
Myeloproliferative disease,0.0004952851770764643
Stomach Neoplasms,0.00048318099069747885
Malignant neoplasm of stomach,0.00048318099069747885
"Muscular Dystrophy, Emery-Dreifuss",0.0004753629271631025
"Melanoma, Amelanotic",0.000473275065334086
Malignant neoplasm of skin,0.0004707732497641794
liposarcoma,0.0004485614599223502
"Liposarcoma, Myxoid",0.000443570733053552
Hereditary Diffuse Gastric Cancer,0.00044008001426825284
"Carcinoma, Small Cell",0.0004352595897882619
ovarian neoplasm,0.0004332863352906805
Malignant neoplasm of ovary,0.0004305949329825099
Bladder Neoplasm,0.0004272440074831442
Malignant neoplasm of urinary bladder,0.0004272440074831442
"Neoplasms, Cystic, Mucinous, and Serous",0.00042372542737552013
Cystadenocarcinoma,0.00042372542737552013
Malignant neoplasm of bronchus,0.0004133932696873175
Bronchial Neoplasms,0.0004133932696873175
Digestive System Neoplasms,0.0004068602944048181
Malignant neoplasm of gastrointestinal tract,0.0004028536447921558
"Lymphoma, Non-Hodgkin",0.0003855284911897899
synovial sarcoma,0.0003848818495683971
Diffuse Large B-Cell Lymphoma,0.000384794212874073
Obesity,0.0003658494076300931
Disease Progression,0.0003646342381346736
Squamous Cell Neoplasms,0.00035936572385632384
Benign Neoplasm,0.0003569286472504932
