Phenotype,Network_score
Adenocarcinoma,0.002441695090779683
Glioma,0.001568360190080283
leukemia,0.0014221248451913961
Renal Cell Carcinoma,0.0014068049978627516
Skin Neoplasms,0.0013602950418885387
melanoma,0.0013598844041415152
Renal carcinoma,0.0013255325792765104
Kidney Neoplasm,0.0012579429835282202
Astrocytoma,0.0012565517255513383
Muscular Dystrophy,0.001203717220101546
Malignant neoplasm of brain,0.0011974845016168272
Mammary Neoplasms,0.0010592394922727952
Sarcoma,0.0010503345565172659
Malignant neoplasm of breast,0.0010478680247371418
Breast Carcinoma,0.0010469589883046473
Neuroendocrine Tumors,0.0010469583782565198
Glioblastoma,0.0010460375275688095
Nevi and Melanomas,0.0010448992845751535
Myeloid Leukemia,0.001034024621980908
Acute leukemia,0.001014493922835085
Ductal Carcinoma,0.0009025069889129389
"Neoplasms, Ductal, Lobular, and Medullary",0.0008591766287467722
Lymphoproliferative Disorders,0.0008432683460225189
Myositis,0.000830540612769599
Amyopathic dermatomyositis,0.0007890196704147915
Mutation Abnormality,0.0007771381845017171
Malignant neoplasm of prostate,0.0007463418601998546
Prostatic Neoplasms,0.000745838240352473
Amyotrophic Lateral Sclerosis,0.0007224418265410196
TDP-43 Proteinopathies,0.0007008029653342872
Anterior Horn Cell Disease,0.0006992283058290962
Motor Neuron Disease,0.0006989324197941533
Brain Neoplasms,0.0006936501038453672
Lung Neoplasms,0.0006766896572827424
Malignant neoplasm of lung,0.0006677907396343526
"Carcinoma, Spindle-Cell",0.0006672124574635054
"Muscular Dystrophy, Duchenne",0.0006426048055099065
Duchenne and Becker Muscular Dystrophy,0.0006426048055099065
"Carcinoma, Large Cell",0.0006102303105309673
Inflammatory Bowel Diseases,0.0005904831695715995
Paraproteinemias,0.0005890886223585245
Colitis,0.0005584359455412238
Vascular Hemostatic Disorders,0.0005572478280995957
Plasma Cell Neoplasm,0.0005528114646858089
Multiple Myeloma,0.0005517494529863351
"Mammary Neoplasms, Human",0.0004930617979886327
"Mammary Carcinoma, Human",0.0004930617979886327
Plasma cell dyscrasia,0.0004920798447152321
Liver carcinoma,0.00047321106494609973
Carcinoma of lung,0.0004654145975184903
Acute lymphocytic leukemia,0.0004652411552307718
Squamous cell carcinoma,0.0004541888455706306
"Muscular Dystrophy, Facioscapulohumeral",0.0004539411668632744
"Neoplasms, Connective Tissue",0.00044467351144620773
Ulcerative Colitis,0.0004393232092482369
Bronchogenic Carcinoma,0.00043042429735362496
B-Cell Lymphomas,0.0004253490077712929
Hematopoietic Neoplasms,0.0004145393495957159
Ulcer,0.00041399317027197526
"Neoplasms, Complex and Mixed",0.0004040535700562895
Carcinosarcoma,0.00039718159058481275
Gastrointestinal Neoplasms,0.0003963691554678056
Precursor B-cell lymphoblastic leukemia,0.00038576501123419813
Lymphoma,0.00038571638908585694
Small cell carcinoma of lung,0.00038437177159856493
"Myeloid Leukemia, Chronic",0.00038092763606120927
Myeloproliferative disease,0.0003807991984947545
Malignant neoplasm of stomach,0.000371148394817939
Stomach Neoplasms,0.000371148394817939
"Muscular Dystrophy, Emery-Dreifuss",0.0003667085200750144
"Melanoma, Amelanotic",0.0003648101484244401
Malignant neoplasm of skin,0.0003630379798701865
liposarcoma,0.00034574161732191976
"Liposarcoma, Myxoid",0.0003419425864042598
Hereditary Diffuse Gastric Cancer,0.0003381782409473695
"Carcinoma, Small Cell",0.00033537770284755683
ovarian neoplasm,0.0003341583095863403
Malignant neoplasm of ovary,0.0003319399449535703
Malignant neoplasm of urinary bladder,0.0003284653728242177
Bladder Neoplasm,0.0003284653728242177
"Neoplasms, Cystic, Mucinous, and Serous",0.00032620397784554597
Cystadenocarcinoma,0.00032620397784554597
Bronchial Neoplasms,0.0003184852775366586
Malignant neoplasm of bronchus,0.0003184852775366586
Digestive System Neoplasms,0.0003137065613780492
Malignant neoplasm of gastrointestinal tract,0.00031002129508110897
"Lymphoma, Non-Hodgkin",0.0002971223568972956
Diffuse Large B-Cell Lymphoma,0.00029657958945597356
synovial sarcoma,0.00029657674903451524
Obesity,0.00028154627529443523
Disease Progression,0.00028014974562201367
Squamous Cell Neoplasms,0.0002769246583483206
Benign Neoplasm,0.0002753214447948413
Chronic Lymphocytic Leukemia,0.0002736398411761172
Lymphoid leukemia,0.00026739898571167815
Medulloblastoma,0.0002648531581758879
Dementia,0.0002616710953049325
malignant neurologic neoplasms,0.00026059913576015033
"Leukemia, Myelocytic, Acute",0.00026057697558057216
Anaplastic carcinoma,0.0002572282642669289
Carcinoma,0.0002572282642669289
Carcinomatosis,0.0002572282642669289
Undifferentiated carcinoma,0.0002572282642669289
Classical Hodgkin's Lymphoma,0.00025529497635409364
Colorectal Carcinoma,0.00025417317024053375
Colorectal Neoplasms,0.00025294860554154905
